id,title,cityname,state,latitude,longitude
5668639818,Three BR 146 Lochview Drive,Newport News,VA,37.0867,-76.4941
5668639686,Three BR 3101 Morningside Drive,Raleigh,NC,35.823,-78.6438
5668638765,Two BR 5 Salt Marsh Quay Apartment H,Hampton,VA,37.0451,-76.3664
5668637998,Two BR 39 Intrepid Circle Unit 301,Marblehead,MA,42.4982,-70.8647
5668630356,Two BR 4685 N. Haverhill Road,West Palm Beach,FL,26.7173,-80.1164
5668627160,Five BR 12 Chester St,Allston,MA,42.3584,-71.1318
5668624921,Three BR 5206 Moonlight Drive Trail Sw,Concord,NC,35.4047,-80.6098
5668624600,Studio apartment 815 18th St S,Arlington,VA,38.8738,-77.1055
5668624330,Two BR 5402 Taney Ave,Alexandria,VA,38.7999,-77.1072
5668622445,One BR 5230 Eastwinds Dr,Orlando,FL,28.5163,-81.3644
5668615006,Three BR 6465 Longleaf Branch Drive,Jacksonville,FL,30.2989,-81.6324
5668612602,One BR 4300 Flint Hill Dr.,Owings Mills,MD,39.4276,-76.7727
5668611315,Studio apartment 4016 Twickenham Court,Raleigh,NC,35.823,-78.6438
5668610263,One BR 190 112th Ave N,Saint Petersburg,FL,27.7873,-82.6772
5668634488,Four BR 209 Winchester Beach Drive,Annapolis,MD,38.9844,-76.4994
5668622224,One BR 2915 Sharer Road,Tallahassee,FL,30.4601,-84.2714
5668619348,Studio apartment 1258 Nw 3rd Ave,Gainesville,FL,29.6533,-82.3656
5668613466,One BR 1404 South Bay Villa Place,Tampa,FL,28.0076,-82.4792
5668612647,One BR 9712 Bosque Creek Circle,Tampa,FL,28.0076,-82.4792
5668612044,One BR 42 West Hill Road,New Bedford,MA,41.6505,-70.9367
5668612030,Two BR 2 Driftwood Ct,Baltimore,MD,39.3191,-76.6126
5668638119,Three BR 188 PINELLAS LANE #401B,Cocoa Beach,FL,28.3288,-80.6118
5668636750,Two BR 7930-7950 Tatum Waterway Drive,Miami Beach,FL,25.8275,-80.1842
5668633317,Three BR 8130 Red Stopper Lane,Winter Garden,FL,28.5335,-81.5918
5668627833,Three BR 1561 Inverness Road,Fernandina Beach,FL,30.6378,-81.4612
5668626326,Five BR 215 Saint Paul St,Brookline,MA,42.3368,-71.1267
5668615727,One BR 4531 Langdon Drive,Morrisville,NC,35.8269,-78.8335
5668615712,Two BR 5300 Montague St,Charlotte,NC,35.2016,-80.8124
5668610819,Three BR 9524 Foggy Meadow Road,Charlotte,NC,35.2016,-80.8124
5668637979,Three BR 84 Crawford Parkway,Clayton,NC,35.6101,-78.4715
5668635230,Three BR 13614 Clubside Drive,Tampa,FL,28.0076,-82.4792
5668629708,Three BR 1616 River Rd #104,Jacksonville,FL,30.2989,-81.6324
5668626842,Four BR 11929 Yellow Fin Trl,Orlando,FL,28.5163,-81.3644
5668624930,Three BR 11712 Rimrock Canyon Drive,Charlotte,NC,35.2016,-80.8124
5668622453,One BR 1030 Douglas Avenue,Altamonte Springs,FL,28.6658,-81.3932
5668620290,Studio apartment 400 West First Street,Greenville,NC,35.6066,-77.3928
5668617440,Four BR 29 Knoll Court,Garner,NC,35.687,-78.6082
5668614656,Studio apartment 1 Water Street,Haverhill,MA,42.7742,-71.0937
5668613910,Studio apartment 9190 Richmond Highway,Fort Belvoir,VA,38.7128,-77.1561
5668611702,One BR 240 Yoakum Pkwy,Alexandria,VA,38.7999,-77.1072
5668611527,One BR 9901 Langs Rd,Baltimore,MD,39.3191,-76.6126
5668633308,Three BR 8539 Gate Parkway W #131,Jacksonville,FL,30.2989,-81.6324
5668633249,Four BR 11857 Campfire Story Lane Orange,Orlando,FL,28.5163,-81.3644
5668626240,One BR 208 Somerset Bay Dr,Glen Burnie,MD,39.1634,-76.6165
5668626180,One BR 362 Klagg Ct,Glen Burnie,MD,39.1634,-76.6165
5668617470,Four BR 376 Collinsworth Drive,Clayton,NC,35.6101,-78.4715
5668615033,One BR 26 Seabreeze Drive,South Dartmouth,MA,41.5964,-70.9532
5668613946,Studio apartment 550 14th Road South,Arlington,VA,38.8738,-77.1055
5668611847,Studio apartment 823 E Main Street,Richmond,VA,37.53,-77.477
5668632712,Two BR 367 Sunny Oaks Way,Lady Lake,FL,28.9283,-81.9227
5668624591,One BR Yellow Flower Rd,Laurel,MD,39.0976,-76.8614
5668624357,One BR 200 Skidmore Blvd,Gaithersburg,MD,39.1474,-77.2032
5668618832,One BR 400 Hayden Rd.,Tallahassee,FL,30.4601,-84.2714
5668614438,One BR 3314 Wickslow Rd.,Wilmington,NC,34.2057,-77.8894
5668613520,One BR 5707 Beau Barton Place,Orlando,FL,28.5163,-81.3644
5668613174,Studio apartment 18 East Meadow Lane,Lowell,MA,42.6398,-71.3184
5668611760,Studio apartment 150 Rivers Edge Dr,Medford,MA,42.4194,-71.111
5668634040,One BR 5405 Ashlar Ave.,Crozet,VA,38.0692,-78.7023
5668629911,Three BR 8123 45th Ct E 4,Sarasota,FL,27.3181,-82.4987
5668628546,One BR 405 Grand Wailea Dr,Hope Mills,NC,34.9674,-78.945
5668627312,Four BR 27 Pratt St,Allston,MA,42.3584,-71.1318
5668626706,One BR 488 NE 18th St Unit 4105,Miami,FL,25.7603,-80.3005
5668623923,One BR White Ave,Baltimore,MD,39.3191,-76.6126
5668618029,Two BR 1981 Randolph Place,Winchester,VA,39.179,-78.1591
5668617133,One BR 410 Starmont Park Blvd,Concord,NC,35.4047,-80.6098
5668614354,One BR 220 Wareham Road,Plymouth,MA,41.8729,-70.6414
5668612094,One BR 1410 Columbia Road,Boston,MA,42.331,-71.0434
5668254891,809 Ave G 2,Fort Pierce,FL,27.4229,-80.3552
5668632790,Two BR 8050 Arlington Expressway,Jacksonville,FL,30.2989,-81.6324
5668628335,Two BR 2401 W Morrison Ave - 211,Tampa,FL,28.0076,-82.4792
5668627995,Two BR 1600 Wards Ferry Rd Unit 202,Lynchburg,VA,37.3961,-79.1892
5668625740,Four BR 6638 Brunning Glen Court,Charlotte,NC,35.2016,-80.8124
5668624401,Three BR 1732 Broad Winged Hawk Drive,Ruskin,FL,27.7164,-82.4294
5668622807,One BR Windemere West,Venice,FL,27.0717,-82.3833
5668622113,One BR 507 Marcella Rd,Hampton,VA,37.0451,-76.3664
5668619634,One BR Bishop Road,Spring Hill,FL,28.473,-82.5474
5668613891,One BR 305 10th Street South,Arlington,VA,38.8738,-77.1055
5668613529,One BR 2520 South Conway Road,Orlando,FL,28.5163,-81.3644
5668613253,One BR One Avalon Drive,Weymouth,MA,42.2081,-70.9524
5668611525,Two BR 909 South Marlyn Ave,Baltimore,MD,39.3191,-76.6126
5668635512,One BR 7334-7371 Pinnacle Pines Drive,Fort Myers,FL,26.5761,-81.8644
5668622491,One BR 1595 Marden Ridge Loop,Apopka,FL,28.6921,-81.5149
5668622471,One BR Eventide Ct,Orlando,FL,28.5163,-81.3644
5668622217,One BR 1303 Ocala Road,Tallahassee,FL,30.4601,-84.2714
5668619515,One BR Paradise Circle,Naples,FL,26.1806,-81.7257
5668613918,One BR 2801 Park Center Dr,Alexandria,VA,38.7999,-77.1072
5668613488,Studio apartment 610 Horatio Street,Tampa,FL,28.0076,-82.4792
5668611261,One BR 418 Hampton Lane,Youngsville,NC,36.0249,-78.4646
5668611218,One BR 3417 Balfour West,Durham,NC,35.9907,-78.9074
5668610923,One BR 200 Brookline Avenue,Boston,MA,42.328,-71.071
5668610835,Three BR 744 Wilderness Trail Drive,Charlotte,NC,35.2016,-80.8124
5668639518,One BR 2323 East Main Street,Richmond,VA,37.53,-77.477
5668626538,Two BR 3208 Clubside Dr,Longwood,FL,28.7026,-81.3885
5668624922,Three BR 10834 Traders Court,Davidson,NC,35.4796,-80.8231
5668624917,Three BR 2807 Rosemeade Drive,Monroe,NC,34.9827,-80.5464
5668622478,Two BR 1600 Oviedo Grove Circle,Oviedo,FL,28.6495,-81.2024
5668620300,"Three BR 1526 S. Charles Blvd, ,",Greenville,NC,35.6066,-77.3928
5668619630,Three BR 5171 Montford Circle,Spring Hill,FL,28.473,-82.5474
5668617584,Four BR 1911 Wolf Tech Lane,Raleigh,NC,35.823,-78.6438
5668614911,Studio apartment 17 W Broad Street,Richmond,VA,37.53,-77.477
5668614456,One BR 1505 Fort Clarke Blvd,Gainesville,FL,29.6533,-82.3656
5668613942,Studio apartment 2111 Richmond Highway,Arlington,VA,38.8738,-77.1055
5668612651,One BR 808 N Franklin St,Tampa,FL,28.0076,-82.4792
5668612027,One BR 200 Presidential Way,Woburn,MA,42.4849,-71.1568
5668251291,1465 Central Ave,Palm Coast,FL,29.5364,-81.2274
5668637952,One BR 2201 N Australian Ave,West Palm Beach,FL,26.7173,-80.1164
5668629514,Three BR 26 Autumn Ridge Lane,Asheville,NC,35.5884,-82.56
5668629150,One BR 9902 Brompton Dr,Westchase,FL,28.0569,-82.6059
5668624403,Three BR 11314 Blackbark Drive,Riverview,FL,27.8492,-82.3155
5668624367,One BR Elias Way,Glen Burnie,MD,39.1634,-76.6165
5668623273,One BR 55 Green Street,Clinton,MA,42.4173,-71.684
