id,price_display,price_type
5668639818,"$1,250",Monthly
5668639686,"$1,395",Monthly
5668638765,"$1,600",Monthly
5668637998,"$3,195",Monthly
5668630356,"$1,740",Monthly
5668627160,"$4,500",Monthly
5668624921,"$1,299",Monthly
5668624600,"$1,549",Monthly
5668624330,"$1,905",Monthly
5668622445,$973,Monthly
5668615006,"$1,499",Monthly
5668612602,"$1,164",Monthly
5668611315,$777,Monthly
5668610263,"$1,055",Monthly
5668634488,"$6,500",Monthly
5668622224,$949,Monthly
5668619348,"$1,160",Monthly
5668613466,"$1,649",Monthly
5668612647,"$1,161",Monthly
5668612044,"$1,495",Monthly
5668612030,$946,Monthly
5668638119,"$1,750",Monthly
5668636750,"$1,650",Monthly
5668633317,"$2,047",Monthly
5668627833,"$1,899",Monthly
5668626326,"$6,300",Monthly
5668615727,"$1,211",Monthly
5668615712,"$1,010",Monthly
5668610819,"$1,499",Monthly
5668637979,"$1,400",Monthly
5668635230,"$2,150",Monthly
5668629708,"$2,800",Monthly
5668626842,"$2,400",Monthly
5668624930,"$1,599",Monthly
5668622453,"$1,009",Monthly
5668620290,$800,Monthly
5668617440,"$1,525",Monthly
5668614656,"$1,200",Monthly
5668613910,"$1,450",Monthly
5668611702,"$1,410",Monthly
5668611527,$941,Monthly
5668633308,"$1,375",Monthly
5668633249,"$2,600",Monthly
5668626240,"$1,743",Monthly
5668626180,"$1,028",Monthly
5668617470,"$1,575",Monthly
5668615033,"$1,400",Monthly
5668613946,"$1,889",Monthly
5668611847,"$1,355",Monthly
5668632712,"$1,009",Monthly
5668624591,$900,Monthly
5668624357,"$1,295",Monthly
5668618832,$690,Monthly
5668614438,$780,Monthly
5668613520,"$1,099",Monthly
5668613174,"$1,222",Monthly
5668611760,"$2,145",Monthly
5668634040,"$1,500",Monthly
5668629911,"$1,499",Monthly
5668628546,$919,Monthly
5668627312,"$3,175",Monthly
5668626706,"$2,350",Monthly
5668623923,$650,Monthly
5668618029,"$1,320",Monthly
5668617133,"$1,073",Monthly
5668614354,"$1,775",Monthly
5668612094,"$2,695",Monthly
5668254891,$850,Monthly
5668632790,$949,Monthly
5668628335,"$1,500",Monthly
5668627995,"$1,000",Monthly
5668625740,"$1,799",Monthly
5668624401,"$1,449",Monthly
5668622807,$625,Monthly
5668622113,$698,Monthly
5668619634,$600,Monthly
5668613891,"$1,926",Monthly
5668613529,"$1,089",Monthly
5668613253,"$1,799",Monthly
5668611525,$945,Monthly
5668635512,$950,Monthly
5668622491,"$1,190",Monthly
5668622471,$900,Monthly
5668622217,$815,Monthly
5668619515,$865,Monthly
5668613918,"$1,685",Monthly
5668613488,"$1,099",Monthly
5668611261,$750,Monthly
5668611218,"$1,076",Monthly
5668610923,"$3,952",Monthly
5668610835,"$1,299",Monthly
5668639518,$995,Monthly
5668626538,"$1,450",Monthly
5668624922,"$1,299",Monthly
5668624917,"$1,425",Monthly
5668622478,"$1,514",Monthly
5668620300,"$1,665",Monthly
5668619630,"$1,549",Monthly
5668617584,"$1,800",Monthly
5668614911,"$1,035",Monthly
5668614456,"$1,095",Monthly
5668613942,"$2,038",Monthly
5668612651,"$1,655",Monthly
5668612027,"$2,240",Monthly
5668251291,"$1,119",Monthly
5668637952,"$1,334",Monthly
5668629514,"$2,000",Monthly
5668629150,"$1,335",Monthly
5668624403,"$1,399",Monthly
5668624367,"$1,095",Monthly
5668623273,"$1,375",Monthly
5668617488,"$1,849",Monthly
5668616803,"$1,294",Monthly
5668613914,"$1,627",Monthly
5668613217,"$1,802",Monthly
5668612067,"$1,160",Monthly
5668611637,"$1,149",Monthly
5668611283,"$1,880",Monthly
5668611223,"$1,511",Monthly
5668611108,"$2,727",Monthly
5668610964,"$1,599",Monthly
5668610947,"$1,475",Monthly
5668635958,$900,Monthly
5668635116,"$1,800",Monthly
5668627360,"$3,000",Monthly
5668624423,"$1,549",Monthly
5668624385,"$1,499",Monthly
5668617231,"$1,675",Monthly
5668614994,"$1,110",Monthly
5668614742,$950,Monthly
5668613179,"$1,483",Monthly
5668611268,"$1,599",Monthly
5668610968,"$4,450",Monthly
5668610081,"$1,149",Monthly
5668639742,"$1,650",Monthly
5668634098,$625,Monthly
5668633531,$895,Monthly
5668629839,"$1,399",Monthly
5668624941,"$1,349",Monthly
5668624370,$645,Monthly
5668624305,"$1,264",Monthly
5668624128,"$1,876",Monthly
5668622175,$915,Monthly
5668617421,"$1,475",Monthly
5668613854,"$1,410",Monthly
5668612613,"$1,311",Monthly
5668612060,"$2,450",Monthly
5668638747,"$1,900",Monthly
5668638731,$810,Monthly
5668635848,"$1,575",Monthly
5668634809,"$1,200",Monthly
5668634338,"$1,850",Monthly
5668633324,"$2,597",Monthly
5668629157,"$1,688",Monthly
5668627931,"$1,750",Monthly
5668626564,$680,Monthly
5668622484,$755,Monthly
5668622082,"$1,449",Monthly
5668613889,"$2,205",Monthly
5668613728,"$1,587",Monthly
5668613456,"$1,599",Monthly
5668613208,"$2,775",Monthly
5668611271,$989,Monthly
5668610299,"$1,115",Monthly
5668637955,"$2,200",Monthly
5668637447,"$1,595",Monthly
5668635337,$535,Monthly
5668633358,"$2,400",Monthly
5668624596,$850,Monthly
5668623919,"$1,245",Monthly
5668613498,"$1,699",Monthly
5668613480,"$1,399",Monthly
5668612606,$960,Monthly
5668638617,"$1,900",Monthly
5668629540,"$1,068",Monthly
5668613886,"$2,100",Monthly
5668613848,"$1,299",Monthly
5668613841,"$2,200",Monthly
5668613762,"$1,345",Monthly
5668612597,"$1,322",Monthly
5668639776,"$1,895",Monthly
5668638986,"$2,395",Monthly
5668632039,"$1,950",Monthly
5668631992,"$6,000",Monthly
5668624549,$650,Monthly
5668624394,"$1,399",Monthly
5668622824,"$1,300",Monthly
5668622200,"$1,470",Monthly
5668622168,$839,Monthly
5668614428,"$1,427",Monthly
5668613423,"$1,299",Monthly
5668611853,$750,Monthly
5668610914,"$2,695",Monthly
5668610554,"$1,975",Monthly
5668610025,"$1,200",Monthly
5668640184,"$1,225",Monthly
5668638465,"$2,195",Monthly
5668637942,"$1,375",Monthly
5668635452,"$1,699",Monthly
5668634772,"$2,250",Monthly
5668634045,"$1,895",Monthly
5668622716,$800,Monthly
5668622240,"$1,540",Monthly
5668620305,"$1,515",Monthly
5668619365,"$1,009",Monthly
5668615737,"$1,549",Monthly
5668615012,"$1,525",Monthly
5668614986,"$1,186",Monthly
5668613534,"$1,119",Monthly
5668613472,"$1,649",Monthly
5668610813,"$1,175",Monthly
5668639823,"$2,395",Monthly
5668638431,"$1,600",Monthly
5668637622,"$3,500",Monthly
5668635854,"$1,525",Monthly
5668633057,"$1,200",Monthly
5668631101,"$1,285",Monthly
5668630508,$475,Monthly
5668629953,"$1,199",Monthly
5668622460,"$1,290",Monthly
5668622425,$855,Monthly
5668622178,$544,Monthly
5668619650,$580,Monthly
5668617299,$905,Monthly
5668616833,"$2,799",Monthly
5668613776,"$2,105",Monthly
5668613587,"$2,626",Monthly
5668611295,$819,Monthly
5668610826,"$1,375",Monthly
5668640298,"$1,200",Monthly
5668640079,$800,Monthly
5668639653,$875,Monthly
5668635443,"$1,200",Monthly
5668629501,"$2,700",Monthly
5668639902,"$2,495",Monthly
5668625780,$900,Monthly
5668624315,"$1,095",Monthly
5668620294,"$1,425",Monthly
5668619353,"$1,139",Monthly
5668617110,"$1,500",Monthly
5668614497,"$1,300",Monthly
5668613198,"$2,164",Monthly
5668611668,"$1,316",Monthly
5668611125,"$1,525",Monthly
5668641521,"$1,595",Monthly
5668636256,"$4,995",Monthly
5668633312,"$2,737",Monthly
5668627239,"$6,900",Monthly
5668626219,"$1,474",Monthly
5668624741,"$3,800",Monthly
5668624413,"$1,425",Monthly
5668624380,"$1,349",Monthly
5668620308,"$1,125",Monthly
5668616874,"$1,325",Monthly
5668613494,"$1,499",Monthly
5668613261,"$2,375",Monthly
5668613247,"$3,950",Monthly
5668613232,"$2,085",Monthly
5668612625,"$1,622",Monthly
5668612617,"$1,111",Monthly
5668610831,"$1,399",Monthly
5668610550,"$2,750",Monthly
5668610075,"$1,239",Monthly
5668637926,"$1,450",Monthly
5668634497,"$1,450",Monthly
5668634429,"$1,225",Monthly
5668634054,"$1,150",Monthly
5668633906,"$2,500",Monthly
5668630480,"$1,600",Monthly
5668629181,"$1,595",Monthly
5668624833,"$2,800",Monthly
5668624593,$900,Monthly
5668624375,"$1,499",Monthly
5668624341,"$1,510",Monthly
5668624293,"$1,350",Monthly
5668624133,"$2,835",Monthly
5668619509,$959,Monthly
5668619341,$650,Monthly
5668615334,"$1,445",Monthly
5668613968,"$1,320",Monthly
5668613958,"$1,986",Monthly
5668613955,"$1,953",Monthly
5668613658,"$1,246",Monthly
5668613446,"$1,349",Monthly
5668613414,$949,Monthly
5668611561,"$1,256",Monthly
5668611291,"$1,069",Monthly
5668611177,"$1,009",Monthly
5668611139,"$1,177",Monthly
5668610832,"$1,275",Monthly
5668643162,"$2,550",Monthly
5668641504,"$2,250",Monthly
5668639489,$875,Monthly
5668639436,"$1,740",Monthly
5668639051,"$1,250",Monthly
5668637935,"$1,300",Monthly
5668634887,"$1,350",Monthly
5668634438,"$1,895",Monthly
5668633913,"$2,500",Monthly
5668627973,"$1,795",Monthly
5668626638,"$3,000",Monthly
5668626055,"$1,120",Monthly
5668624587,"$1,240",Monthly
5668624337,"$1,425",Monthly
5668624325,$800,Monthly
5668622234,$879,Monthly
5668622195,$925,Monthly
5668620765,"$1,048",Monthly
5668618887,"$2,350",Monthly
5668615037,$635,Monthly
5668613800,"$1,820",Monthly
5668613714,"$1,235",Monthly
5668613672,"$1,179",Monthly
5668613236,"$2,501",Monthly
5668613184,"$1,635",Monthly
5668612659,"$1,145",Monthly
5668612639,"$1,002",Monthly
5668612192,"$1,072",Monthly
5668612038,"$1,700",Monthly
5668611923,"$1,795",Monthly
5668610822,"$1,425",Monthly
5668610544,"$2,060",Monthly
5668610277,$999,Monthly
5668642898,"$2,100",Monthly
5668642088,"$1,675",Monthly
5668638768,$895,Monthly
5668636486,"$1,100",Monthly
5668635891,$998,Monthly
5668634803,"$1,495",Monthly
5668633552,$880,Monthly
5668632998,"$1,250",Monthly
5668630568,"$1,700",Monthly
5668629232,"$2,590",Monthly
5668627742,$894,Monthly
5668626160,"$1,295",Monthly
5668625823,"$1,110",Monthly
5668624937,$995,Monthly
