id,pets_allowed,fee
5668639818,"Cats,Dogs",No
5668639686,No pets allowed,No
5668638765,No pets allowed,No
5668637998,No pets allowed,No
5668630356,"Cats,Dogs",No
5668627160,No pets allowed,No
5668624921,"Cats,Dogs",No
5668624600,"Cats,Dogs",No
5668624330,"Cats,Dogs",No
5668622445,"Cats,Dogs",No
5668615006,"Cats,Dogs",No
5668612602,"Cats,Dogs",No
5668611315,"Cats,Dogs",No
5668610263,"Cats,Dogs",No
5668634488,No pets allowed,No
5668622224,"Cats,Dogs",No
5668619348,"Cats,Dogs",No
5668613466,"Cats,Dogs",No
5668612647,"Cats,Dogs",No
5668612044,"Cats,Dogs",No
5668612030,"Cats,Dogs",No
5668638119,No pets allowed,No
5668636750,"Cats,Dogs",No
5668633317,"Cats,Dogs",No
5668627833,No pets allowed,No
5668626326,No pets allowed,No
5668615727,"Cats,Dogs",No
5668615712,No pets allowed,No
5668610819,"Cats,Dogs",No
5668637979,"Cats,Dogs",No
5668635230,"Cats,Dogs",No
5668629708,"Cats,Dogs",No
5668626842,No pets allowed,No
5668624930,"Cats,Dogs",No
5668622453,"Cats,Dogs",No
5668620290,"Cats,Dogs",No
5668617440,"Cats,Dogs",No
5668614656,Cats,No
5668613910,"Cats,Dogs",No
5668611702,"Cats,Dogs",No
5668611527,"Cats,Dogs",No
5668633308,"Cats,Dogs",No
5668633249,No pets allowed,No
5668626240,No pets allowed,No
5668626180,No pets allowed,No
5668617470,"Cats,Dogs",No
5668615033,"Cats,Dogs",No
5668613946,"Cats,Dogs",No
5668611847,"Cats,Dogs",No
5668632712,"Cats,Dogs",No
5668624591,No pets allowed,No
5668624357,"Cats,Dogs",No
5668618832,"Cats,Dogs",No
5668614438,"Cats,Dogs",No
5668613520,"Cats,Dogs",No
5668613174,No pets allowed,No
5668611760,"Cats,Dogs",No
5668634040,No pets allowed,No
5668629911,"Cats,Dogs",No
5668628546,"Cats,Dogs",No
5668627312,No pets allowed,No
5668626706,No pets allowed,No
5668623923,No pets allowed,No
5668618029,"Cats,Dogs",No
5668617133,"Cats,Dogs",No
