id,square_feet,bedrooms,bathrooms,pets_allowed
5668639818,1500,3.0,1.5,"Cats,Dogs"
5668639686,1650,3.0,2.0,No pets allowed
5668638765,1120,2.0,2.0,No pets allowed
5668637998,3077,2.0,3.0,No pets allowed
5668630356,1600,2.0,2.0,"Cats,Dogs"
5668627160,2050,5.0,2.0,No pets allowed
5668624921,1119,3.0,2.0,"Cats,Dogs"
5668624600,431,2.0,1.0,"Cats,Dogs"
5668624330,900,2.0,1.0,"Cats,Dogs"
5668622445,509,1.0,1.0,"Cats,Dogs"
5668615006,1544,3.0,2.0,"Cats,Dogs"
5668612602,755,1.0,1.0,"Cats,Dogs"
5668611315,563,2.0,1.0,"Cats,Dogs"
5668610263,550,1.0,1.0,"Cats,Dogs"
5668634488,3800,4.0,4.0,No pets allowed
5668622224,625,1.0,1.0,"Cats,Dogs"
5668619348,338,2.0,1.0,"Cats,Dogs"
5668613466,738,1.0,1.0,"Cats,Dogs"
5668612647,780,1.0,1.0,"Cats,Dogs"
5668612044,825,1.0,1.0,"Cats,Dogs"
5668612030,720,2.0,1.0,"Cats,Dogs"
5668638119,2068,3.0,2.5,No pets allowed
5668636750,789,2.0,2.0,"Cats,Dogs"
5668633317,1851,3.0,2.5,"Cats,Dogs"
5668627833,1307,3.0,2.0,No pets allowed
5668626326,2100,5.0,2.0,No pets allowed
5668615727,866,1.0,1.0,"Cats,Dogs"
5668615712,1100,2.0,2.0,No pets allowed
5668610819,1665,3.0,2.0,"Cats,Dogs"
5668637979,1285,3.0,2.0,"Cats,Dogs"
5668635230,2120,3.0,2.0,"Cats,Dogs"
5668629708,2232,3.0,3.5,"Cats,Dogs"
5668626842,2516,4.0,3.0,No pets allowed
5668624930,1413,3.0,2.0,"Cats,Dogs"
5668622453,826,1.0,1.0,"Cats,Dogs"
5668620290,500,3.0,1.0,"Cats,Dogs"
5668617440,1868,4.0,2.0,"Cats,Dogs"
5668614656,350,2.0,1.0,Cats
5668613910,410,2.0,1.0,"Cats,Dogs"
5668611702,651,1.0,1.0,"Cats,Dogs"
5668611527,627,1.0,1.0,"Cats,Dogs"
5668633308,1347,3.0,2.0,"Cats,Dogs"
5668633249,3200,4.0,2.5,No pets allowed
5668626240,1130,1.0,2.0,No pets allowed
5668626180,542,1.0,1.0,No pets allowed
5668617470,2064,4.0,2.0,"Cats,Dogs"
5668615033,678,1.0,1.0,"Cats,Dogs"
5668613946,561,3.0,1.0,"Cats,Dogs"
5668611847,663,2.0,1.0,"Cats,Dogs"
5668632712,1138,2.0,1.5,"Cats,Dogs"
5668624591,250,1.0,1.0,No pets allowed
5668624357,536,1.0,1.0,"Cats,Dogs"
5668618832,750,1.0,1.0,"Cats,Dogs"
5668614438,620,1.0,1.0,"Cats,Dogs"
5668613520,540,1.0,1.0,"Cats,Dogs"
5668613174,310,2.0,1.0,No pets allowed
5668611760,622,2.0,1.0,"Cats,Dogs"
5668634040,850,1.0,1.0,No pets allowed
